customer_id,product_id,purchase_date,purchase_amount,rating,review,search_queries
1,1,2024-01-15,975.130452009668,5,Excellent product,apple iphone
1,1,2024-01-15,1031.9193406523036,5,Excellent product,adidas sneakers
1,1,2024-01-15,1007.1582617040392,5,Excellent product,fitbit charge
1,1,2024-01-15,1017.1500964676187,5,Excellent product,smart tv
1,1,2024-01-15,990.2219040810603,5,Excellent product,lenovo yoga
1,1,2024-01-15,1000.847954791287,5,Excellent product,sony headphones
1,1,2024-01-15,975.2795792206633,5,Excellent product,ps5
1,1,2024-01-15,959.6428565185606,5,Excellent product,dell laptop
1,1,2024-01-15,955.0360306421768,5,Excellent product,bose headphones
1,1,2024-01-15,1022.9653175587362,5,Excellent product,gopro camera
1,1,2024-01-15,1011.023317008828,5,Excellent product,garmin watch
1,1,2024-01-15,990.3433274724216,5,Excellent product,nike shoes
1,1,2024-01-15,985.9239725923907,5,Excellent product,amazon echo
1,1,2024-01-15,975.350571727618,5,Excellent product,puma jacket
1,1,2024-01-15,968.1852497154836,5,Excellent product,samsung galaxy
1,1,2024-01-15,1034.903561200659,5,Excellent product,adidas sneakers
1,1,2024-01-15,1029.9011513943879,5,Excellent product,samsung galaxy
1,1,2024-01-15,985.0302776275154,5,Excellent product,ps5
1,1,2024-01-15,985.171540769776,5,Excellent product,apple iphone
1,1,2024-01-15,1049.0416428239555,5,Excellent product,smart tv
1,1,2024-01-15,973.1599498606686,5,Excellent product,apple iphone
1,1,2024-01-15,1042.0164464131649,5,Excellent product,dell laptop
1,1,2024-01-15,1001.1143415857185,5,Excellent product,apple iphone
1,1,2024-01-15,992.082137257335,5,Excellent product,ps5
1,1,2024-01-15,991.6687071666358,5,Excellent product,dell laptop
1,1,2024-01-15,979.1726524005419,5,Excellent product,nike shoes
1,1,2024-01-15,1010.1245313393284,5,Excellent product,smart tv
1,1,2024-01-15,974.4811735435724,5,Excellent product,nike shoes
1,1,2024-01-15,1008.1431497828211,5,Excellent product,samsung galaxy
1,1,2024-01-15,978.4404880144197,5,Excellent product,bose headphones
2,2,2024-02-10,782.6524937008899,4,Very good phone,samsung galaxy
2,2,2024-02-10,760.3727057985565,4,Very good phone,ps5
2,2,2024-02-10,779.3287419092438,4,Very good phone,gopro camera
2,2,2024-02-10,761.3251133828012,4,Very good phone,amazon echo
